"Artifact_Id","Operation","Suboperation","Lot","Lenght_mm","Width_mm","Mass_g","Thickness_mm","Raw_material","Quality","Cortex","Attribute_termination","Comments","Thickness_bulb_mm","Attribute_platform","Type_collection"
950,4,"R",2,19.3,9.2,1,5.9,"Chert",5,"None",NA,"",5.6,"Flat",NA
951,2,"A",2,30,26.2,3.8,4.7,"Chert",4,"None","Feathered","Reanalyzed JB",6.2,"Flat",NA
959,2,"A",5,24.5,17,3,5.1,"Chert",3,"None","Feathered","Reanalyzed JB",NA,NA,NA
960,2,"A",5,31.3,19.1,3.4,4.9,"Chert",4,"None","Feathered","Reanalyzed JB",7.1,"Flat",NA
961,2,"A",5,19,25.7,1.5,3.7,"Chert",5,"None",NA,"Reanalyzed JB",4.3,"Flat",NA
962,2,"A",5,25.3,24.5,4.6,6.8,"Chert",3,"None","Hinged","Reanalyzed JB",6.5,"Flat",NA
963,2,"A",5,30,2.3,8.3,4.4,"Chert",4,"None","Feathered","Reanalyzed JB",NA,NA,NA
964,2,"A",5,15.3,16.4,0.8,3.1,"Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
965,2,"A",5,12.9,22,1.2,3.2,"Chert",4,"None",NA,"Reanalyzed JB",NA,NA,NA
966,2,"A",5,23.1,12.6,1.1,3.4,"Chert",4,"None",NA,"Reanalyzed JB",NA,NA,NA
967,2,"A",5,25.8,12,2.9,7.3,"Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
968,2,"A",5,32.6,14.5,2.7,4.1,"`Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
969,2,"A",5,32.9,11.7,2.7,5.6,"Chert",2,"None",NA,"Reanalyzed JB",NA,NA,NA
972,2,"A",5,26.9,18.6,2,3.2,"Chert",3,"None","Feathered","Reanalyzed JB",NA,"Flat",NA
973,2,"A",5,16.8,13.1,0.7,2.6,"Chert",4,"None","Feathered","Reanalyzed JB",NA,NA,NA
974,2,"A",5,11.2,11.8,0.6,2.9,"Chert",2,"None",NA,"Reanalyzed JB",NA,NA,NA
975,2,"A",5,11.3,11.1,0.3,2,"Chert",2,"None","Feathered","Reanalyzed JB",0.4,"Flat",NA
988,2,"A",3,15.1,20.2,2.4,6.7,"Chert",5,"None",NA,"Reanalyzed JB",6.8,NA,NA
989,2,"A",3,20.9,16.4,2.2,5,"Chert",2,"None","Feathered","Reanalyzed JB",6.8,"Flat",NA
990,2,"A",3,19.1,15.6,0.9,3.5,"Chert",4,"None","Feathered","Reanalyzed JB",3.9,NA,NA
991,2,"A",3,15.5,25.7,1.7,4.3,"Chert",4,"None","Feathered","Reanalyzed JB",5.2,NA,NA
992,2,"A",3,14,16.5,0.9,2.3,"Chert",4,"None","Feathered","Reanalyzed JB",3.8,NA,NA
993,2,"A",3,29.5,15.7,0.1,3,"Chert",3,"None","Feathered","Reanalyzed JB",NA,NA,NA
994,2,"A",3,9,10.8,0.3,2,"Chert",5,"None","Feathered","Reanalyzed JB",3,"Flat",NA
995,2,"A",3,13.6,17.5,0.5,2.5,"Chert",5,"None","Feathered","Reanalyzed JB",3,"Flat",NA
996,2,"A",3,38.5,34.7,11.7,17.5,"Chert",4,"<50%",NA,"Reanalyzed JB",12.2,"Flat",NA
997,2,"A",3,34.1,16.7,5.9,9.1,"Chert",3,"<50%",NA,"Reanalyzed JB",9.2,NA,NA
998,2,"A",3,25,34.6,6.9,11.9,"Chert",5,"<50%",NA,"Reanalyzed JB",10.4,NA,NA
999,2,"A",3,34.8,14.6,4,5.5,"Chert",3,"None","Stepped","Reanalyzed JB",6.4,NA,NA
1000,2,"A",3,32.2,16.9,4.6,8.9,"Chert",4,"None",NA,"Reanalyzed JB",NA,NA,NA
1002,2,"A",3,33.8,15.4,2.8,5.1,"Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
1003,2,"A",3,29.3,11.8,3,6.3,"Chert",4,"None",NA,"Reanalyzed JB",NA,NA,NA
1004,2,"A",3,28.3,12.1,3,5.9,"Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
1005,2,"A",3,26.1,13.9,1.2,4.6,"Chert",5,"<50%",NA,"Reanalyzed JB",NA,NA,NA
1007,2,"A",3,29.5,13.5,3.5,2.1,"Chert",3,"None",NA,"Reanalyzed JB",NA,NA,NA
1009,2,"A",3,10.1,22.1,1.1,3.6,"Chert",3,"None","Feathered","Reanalyzed JB",NA,NA,NA
