Artifact#,Provenience,Length (mm),Width (mm),Weight (g),Thickness (mm),Bulb Thickness (mm),Material Type,Material Quality,Cortex,Platform,Term.,Comments
973,2-A-5,16.8,13.1,0.7,2.6,x,Chert,Good,x,x,Feathered,Reanalyzed JB
974,2-A-5,11.2,11.8,0.6,2.9,x,Chert,Bad,x,x,x,Reanalyzed JB
975,2-A-5,11.3,11.1,0.3,2,0.4,Chert,Bad,x,Flat,Feathered,Reanalyzed JB
988,2-A-3,15.1,20.2,2.4,6.7,6.8,Chert,Very Good,x,x,x,Reanalyzed JB
989,2-A-3,20.9,16.4,2.2,5,6.8,Chert,Bad,x,Flat,Feathered,Reanalyzed JB
990,2-A-3,19.1,15.6,0.9,3.5,3.9,Chert,Good,x,x,Feathered,Reanalyzed JB
991,2-A-3,15.5,25.7,1.7,4.3,5.2,Chert,Good,x,x,Feathered,Reanalyzed JB
992,2-A-3,14,16.5,0.9,2.3,3.8,Chert,Good,x,x,Feathered,Reanalyzed JB
993,2-A-3,29.5,15.7,0.1,3,x,Chert,Intermediate,x,x,Feathered,Reanalyzed JB
994,2-A-3,9,10.8,0.3,2,3,Chert,Very Good,x,Flat ,Feathered,Reanalyzed JB
995,2-A-3,13.6,17.5,0.5,2.5,3,Chert,Very Good,x,Flat,Feathered,Reanalyzed JB
996,2-A-3,38.5,34.7,11.7,17.5,12.2,Chert,Good,<50%,Flat,x,Reanalyzed JB
997,2-A-3,34.1,16.7,5.9,9.1,9.2,Chert,Intermediate,<50%,x,x,Reanalyzed JB
998,2-A-3,25,34.6,6.9,11.9,10.4,Chert,Very Good,<50%,Complex,x,Reanalyzed JB
999,2-A-3,34.8,14.6,4,5.5,6.4,Chert,Intermediate,x,x,Stepped,Reanalyzed JB
1000,2-A-3,32.2,16.9,4.6,8.9,x,Chert,Good,x,x,x,Reanalyzed JB
1001,2-A-3,39.5,13.4,4.5,6.5,x,Chert,Intermediate,x,x,Feathered,"Reanlyzed JB, poss reworking"
1002,2-A-3,33.8,15.4,2.8,5.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1003,2-A-3,29.3,11.8,3,6.3,x,Chert,Good,x,x,x,Reanalyzed JB
1004,2-A-3,28.3,12.1,3,5.9,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1005,2-A-3,26.1,13.9,1.2,4.6,x,Chert,Very Good,<50%,x,x,Reanalyzed JB
1006,2-A-3,20.4,30.1,3.4,5.9,x,Chert,Intermediate,x,x,Feathered,"Reanlyzed JB, poss reworking"
1007,2-A-3,29.5,13.5,3.5,2.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1008,2-A-3,33.4,14.9,3.7,6.5,4.6,Chert,Very Good,x,Flat,x,"Reanlyzed JB, poss reworking"
1009,2-A-3,10.1,22.1,1.1,3.6,x,Chert,Intermediate,x,x,Feathered,Reanalyzed JB
1010,2-A-3,22.6,12.5,2.1,5.7,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1011,2-A-3,22.6,12.1,1.4,4.1,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1012,2-A-3,27.7,15,1.8,3.6,x,Chert,Good,x,x,Feathered,Reanalyzed JB
1013,2-A-3,30.5,11.8,2.8,6.1,x,Chert,Good,x,x,Feathered,Reanalyzed JB
1014,2-A-3,28.5,16.6,2.5,5.4,x,Chert,Good,x,x,x,Reanalyzed JB
1015,2-A-3,30.5,15.9,3.8,5.8,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1016,2-A-3,29.6,14.4,2.3,4.7,x,Chert,Very Good,x,x,x,Reanalyzed JB
1017,2-A-3,32.8,11.8,3.2,6.2,x,Chert,Good,x,x,x,Reanalyzed JB
1018,2-A-3,32,15.8,3.6,6,x,Chert,good,x,x,Feathered,Reanalyzed JB
1019,2-A-3,36.8,15.8,5,5.4,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1020,2-A-3,27.2,15.8,2.3,3.8,x,Chert,Intermediate,x,x,x,Poss tool
1021,2-A-3,37.5,15.1,4.2,15,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1022,2-A-3,29.9,12.1,3.3,5.5,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1023,2-A-3,33.5,15.8,5.2,8.2,x,Chert ,Good,x,x,x,Reanalyzed JB
1024,2-A-3,30.4,12.7,3.3,6.5,x,Chert,Good,x,x,x,Reanalyzed JB
1025,2-A-3,26,11.5,1.3,3.9,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1026,2-A-3,28,12.7,2.3,4.7,x,Chert,Good,x,x,x,"Reanalyzed, poss reworking"
1027,2-A-3,24.4,11.8,2,4.7,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1028,2-A-3,33.5,15.2,3.4,4.9,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1029,2-A-3,30.3,12.8,2.4,4.9,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1030,2-A-3,32.7,9.9,2.5,7.4,x,Chert,Intermediate,x,x,x,Reanalyzed JB
1031,2-A-3,24.7,12.8,2.2,4.9,x,Chert,Good,x,Flat,x,Reanalyzed JB
1032,2-A-3,26.1,10.6,1.8,4.1,x,Chert,Good,<50%,x,x,Reanalyzed JB
